symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,r_multiple,bars_held,setup_w1,setup_w3,reason
NAS100,long,2015-04-28 11:00:00+00:00,4517.929999999999,2015-04-28 14:00:00+00:00,4485.73,3.1055900621118186,-100.0,-1.0,3,60.75,136.25,sl
NAS100,short,2015-05-06 15:00:00+00:00,4416.183999999999,2015-05-06 16:00:00+00:00,4381.5,5.394907207596012,187.11696158825623,1.8711696158825624,1,39.97999999999956,84.25,tp
NAS100,long,2015-05-18 14:00:00+00:00,4477.3,2015-06-01 21:00:00+00:00,4521.5,3.913894324853201,172.9941291585108,1.7299412915851078,240,83.25,94.02000000000044,timeout
NAS100,long,2015-06-17 20:00:00+00:00,4445.596,2015-06-18 13:00:00+00:00,4482.73,4.331629559040237,160.8507320454002,1.6085073204540021,17,43.72999999999956,69.72999999999956,tp
NAS100,long,2015-06-22 06:00:00+00:00,4507.584,2015-06-22 08:00:00+00:00,4541.23,2.974950913309887,100.09519842922366,1.0009519842922368,2,43.25,99.25,tp
NAS100,short,2015-06-26 14:00:00+00:00,4511.683999999999,2015-06-26 15:00:00+00:00,4493.98,8.057368463459797,142.64765127709,1.4264765127709,1,21.25,46.22999999999956,tp
NAS100,short,2015-06-29 18:00:00+00:00,4440.379999999999,2015-06-29 19:00:00+00:00,4404.25,2.8288543140028,102.2065063649189,1.0220650636491888,1,46.22999999999956,115.25,tp
NAS100,long,2015-07-15 21:00:00+00:00,4514.73,2015-07-16 20:00:00+00:00,4603.209999999999,4.761904761904762,421.33333333333127,4.2133333333333125,23,94.47999999999956,157.47999999999956,tp
NAS100,short,2015-07-23 13:00:00+00:00,4624.8,2015-07-23 14:00:00+00:00,4615.0,3.1055900621118186,30.434782608696388,0.30434782608696387,1,19.0,90.75,tp
NAS100,short,2015-08-07 08:00:00+00:00,4526.83,2015-08-07 15:00:00+00:00,4491.959999999999,4.645760743321797,161.99767711963477,1.619976771196348,7,41.02000000000044,106.0,tp
NAS100,short,2015-08-24 20:00:00+00:00,4146.7339999999995,2015-08-24 21:00:00+00:00,4106.709999999999,0.5861286786901201,23.459214235893565,0.23459214235893566,1,88.77000000000044,597.75,tp
NAS100,short,2015-12-14 12:00:00+00:00,4568.5,2015-12-15 13:00:00+00:00,4604.375,2.7874564459930316,-100.0,-1.0,25,115.5,146.22999999999956,sl
NAS100,long,2015-12-24 14:00:00+00:00,4604.096,2015-12-28 15:00:00+00:00,4590.635,7.428868583315131,-100.0,-1.0,21,67.25,78.72999999999956,sl
NAS100,short,2016-01-07 04:00:00+00:00,4444.534,2016-01-07 05:00:00+00:00,4402.23,1.944163620810339,82.24589781476075,0.8224589781476075,1,57.0,127.72999999999956,tp
NAS100,short,2016-02-08 10:00:00+00:00,4035.996,2016-02-08 11:00:00+00:00,3965.7700000000004,3.263814093149241,229.2046085054975,2.2920460850549746,1,78.97999999999956,171.76999999999998,tp
NAS100,long,2016-02-18 12:00:00+00:00,4188.884,2016-02-18 16:00:00+00:00,4164.719999999999,4.138387684158137,-100.0,-1.0,4,61.5,148.76999999999998,sl
NAS100,long,2016-03-31 12:00:00+00:00,4471.2339999999995,2016-04-01 19:00:00+00:00,4522.23,3.006253006252995,153.30687830687802,1.5330687830687801,31,60.5,135.27000000000044,tp
NAS100,short,2016-04-25 08:00:00+00:00,4475.28,2016-04-26 20:00:00+00:00,4408.98,2.5510204081632772,169.13265306122574,1.6913265306122574,36,77.5,124.75,tp
NAS100,short,2016-06-13 16:00:00+00:00,4455.429999999999,2016-06-13 19:00:00+00:00,4424.48,5.1480051480051,159.3307593307569,1.593307593307569,3,36.5,84.5,tp
NAS100,long,2016-07-21 14:00:00+00:00,4646.129999999999,2016-07-21 18:00:00+00:00,4633.355,7.82778864970668,-100.0,-1.0,4,63.22999999999956,73.25,sl
NAS100,long,2016-08-09 04:00:00+00:00,4772.384,2016-08-09 14:00:00+00:00,4803.73,4.138387684158137,129.7219003476191,1.297219003476191,10,38.25,102.52000000000044,tp
NAS100,short,2016-08-17 14:00:00+00:00,4801.58,2016-08-17 15:00:00+00:00,4781.23,9.070294784580797,184.5804988662225,1.8458049886622254,1,23.5,34.75,tp
NAS100,short,2016-08-26 10:00:00+00:00,4788.53,2016-08-26 14:00:00+00:00,4804.98,6.079027355623167,-100.0,-1.0,4,31.25,53.25,sl
NAS100,short,2016-08-31 17:00:00+00:00,4774.879999999999,2016-09-01 07:00:00+00:00,4788.355,7.421150278292935,-100.0,-1.0,14,25.270000000000437,38.25,sl
NAS100,long,2016-09-16 14:00:00+00:00,4803.446,2016-09-19 17:00:00+00:00,4783.51,5.016051364366048,-99.99999999999999,-1.0,27,71.27000000000044,106.47999999999956,sl
NAS100,short,2016-11-02 09:00:00+00:00,4757.83,2016-11-02 17:00:00+00:00,4733.23,2.8860028860029163,70.9956709956728,0.7099567099567279,8,34.5,98.02000000000044,tp
NAS100,long,2016-11-16 16:00:00+00:00,4744.9839999999995,2016-11-16 17:00:00+00:00,4781.0,3.0874679675198253,111.19824631819567,1.1119824631819566,1,45.27000000000044,87.52000000000044,tp
NAS100,long,2016-12-14 15:00:00+00:00,4937.05,2016-12-14 19:00:00+00:00,4915.875,4.722550177095591,-99.99999999999999,-1.0,4,75.27000000000044,109.5,sl
NAS100,short,2016-12-29 16:00:00+00:00,4928.7339999999995,2016-12-29 17:00:00+00:00,4906.0,7.150007150007213,162.5482625482602,1.6254826254826018,1,26.729999999999563,65.72999999999956,tp
NAS100,long,2017-01-09 15:00:00+00:00,5004.346,2017-01-12 16:00:00+00:00,4993.51,9.228497600591194,-100.0,-1.0,72,61.5,96.97999999999956,sl
NAS100,long,2017-02-17 15:00:00+00:00,5292.429999999999,2017-02-20 06:00:00+00:00,5330.98,4.801920768307365,185.1140456182498,1.8511404561824978,15,44.5,51.5,tp
NAS100,long,2017-02-20 23:00:00+00:00,5330.379999999999,2017-02-23 16:00:00+00:00,5317.605,7.82778864970668,-100.0,-1.0,63,51.5,58.5,sl
NAS100,short,2017-03-03 16:00:00+00:00,5359.933999999999,2017-03-06 15:00:00+00:00,5343.48,7.526719855486946,123.84464850218014,1.2384464850218013,22,20.25,48.22999999999956,tp
NAS100,long,2017-03-17 06:00:00+00:00,5405.9839999999995,2017-03-21 02:00:00+00:00,5433.48,3.8074931465123183,104.69083155650307,1.0469083155650307,43,35.0,60.75,tp
